12, 12, 8, 9, 5, 0.095, 0.935
12, 12, 8, 99, 50, 0.093, 11.325
12, 12, 8, 87, 45, 0.099, 8.929
12, 12, 8, 11, 6, 0.089, 1.288
12, 12, 8, 9, 5, 0.086, 0.96
12, 12, 8, 9, 5, 0.092, 1.013
12, 12, 8, 9, 5, 0.085, 0.992
12, 12, 8, 11, 6, 0.083, 1.262
12, 12, 8, 5, 3, 0.089, 0.483
12, 12, 8, 5, 3, 0.090, 0.481
12, 12, 8, 45, 24, 0.095, 5.615
12, 12, 8, 7, 4, 0.095, 0.72
12, 12, 8, 247, 145, 0.099, 26.449
12, 12, 8, 7, 4, 0.095, 0.712
12, 12, 8, 5, 3, 0.090, 0.449
12, 12, 8, 3, 2, 0.086, 0.313
12, 12, 8, 36, 20, 0.095, 4.059
12, 12, 8, 7, 4, 0.094, 0.713
12, 12, 8, 15, 10, 0.095, 1.491
12, 12, 8, 17, 9, 0.090, 1.696
12, 12, 8, 7, 4, 0.094, 0.661
12, 12, 8, 9, 5, 0.084, 0.979
12, 12, 8, 18, 10, 0.093, 1.935
12, 12, 8, 5, 3, 0.088, 0.556
12, 12, 8, 9, 5, 0.094, 0.971
12, 12, 8, 263, 157, 0.096, 30.7
12, 12, 8, 7, 4, 0.080, 0.773
12, 12, 8, 3, 2, 0.090, 0.28
12, 12, 8, 1, 1, 0.093, 0.091
12, 12, 8, 9, 5, 0.091, 0.913
12, 12, 8, 11, 6, 0.095, 1.211
12, 12, 8, 85, 44, 0.093, 9.826
12, 12, 8, 80, 42, 0.099, 8.252
12, 12, 8, 13, 7, 0.089, 1.521
12, 12, 8, 5, 3, 0.086, 0.557
12, 12, 8, 9, 5, 0.092, 1.012
12, 12, 8, 9, 5, 0.085, 1.042
12, 12, 8, 11, 6, 0.083, 1.324
12, 12, 8, 5, 3, 0.089, 0.479
12, 12, 8, 5, 3, 0.090, 0.495
12, 12, 8, 46, 25, 0.095, 5.773
12, 12, 8, 7, 4, 0.095, 0.71
12, 12, 8, 225, 131, 0.099, 24.004
12, 12, 8, 7, 4, 0.095, 0.735
12, 12, 8, 5, 3, 0.090, 0.459
12, 12, 8, 3, 2, 0.086, 0.299
12, 12, 8, 38, 20, 0.095, 4.346
12, 12, 8, 7, 4, 0.094, 0.713
12, 12, 8, 15, 10, 0.095, 1.528
12, 12, 8, 13, 7, 0.090, 1.313
12, 12, 8, 7, 4, 0.094, 0.692
12, 12, 8, 9, 5, 0.084, 0.99
12, 12, 8, 16, 9, 0.093, 1.687
12, 12, 8, 7, 4, 0.088, 0.762
12, 12, 8, 9, 5, 0.094, 0.997
12, 12, 8, 313, 184, 0.096, 36.806
12, 12, 8, 7, 4, 0.080, 0.778
12, 12, 8, 3, 2, 0.090, 0.282
12, 12, 8, 1, 1, 0.093, 0.089
12, 12, 8, 9, 5, 0.091, 0.876
12, 12, 8, 9, 5, 0.095, 0.948
12, 12, 8, 77, 40, 0.093, 8.733
12, 12, 8, 75, 40, 0.099, 7.597
12, 12, 8, 11, 6, 0.089, 1.279
12, 12, 8, 5, 3, 0.086, 0.548
12, 12, 8, 9, 5, 0.092, 0.967
12, 12, 8, 9, 5, 0.085, 0.986
12, 12, 8, 11, 6, 0.083, 1.275
12, 12, 8, 5, 3, 0.089, 0.462
12, 12, 8, 5, 3, 0.090, 0.479
12, 12, 8, 53, 29, 0.095, 6.516
12, 12, 8, 7, 4, 0.095, 0.706
12, 12, 8, 213, 127, 0.099, 22.363
12, 12, 8, 7, 4, 0.095, 0.716
12, 12, 8, 5, 3, 0.090, 0.458
12, 12, 8, 3, 2, 0.086, 0.288
12, 12, 8, 37, 20, 0.095, 4.111
12, 12, 8, 7, 4, 0.094, 0.694
12, 12, 8, 18, 12, 0.095, 1.768
12, 12, 8, 17, 9, 0.090, 1.7
12, 12, 8, 7, 4, 0.094, 0.655
12, 12, 8, 9, 5, 0.084, 0.971
12, 12, 8, 16, 9, 0.093, 1.675
12, 12, 8, 5, 3, 0.088, 0.524
12, 12, 8, 9, 5, 0.094, 0.961
12, 12, 8, 305, 178, 0.096, 35.33
12, 12, 8, 6, 4, 0.080, 0.659
12, 12, 8, 3, 2, 0.090, 0.28
12, 12, 8, 1, 1, 0.093, 0.088
12, 12, 8, 9, 5, 0.091, 0.879
