12, 12, 9, 7, 4, 0.090, 0.073
12, 12, 7, 11, 6, 0.070, 0.073
12, 12, 8, 7, 4, 0.080, 0.053
12, 12, 9, 3, 2, 0.090, 0.033
12, 12, 8, 3, 2, 0.080, 0.02
12, 12, 7, 5, 3, 0.070, 0.036
12, 12, 6, 19, 10, 0.060, 0.101
12, 12, 7, 3, 2, 0.070, 0.026
12, 12, 6, 3, 2, 0.060, 0.016
12, 12, 6, 3, 2, 0.060, 0.013
12, 12, 9, 7, 4, 0.090, 0.071
12, 12, 7, 11, 6, 0.070, 0.071
12, 12, 8, 7, 4, 0.080, 0.054
12, 12, 9, 3, 2, 0.090, 0.033
12, 12, 8, 3, 2, 0.080, 0.019
12, 12, 7, 5, 3, 0.070, 0.057
12, 12, 6, 19, 10, 0.060, 0.107
12, 12, 7, 3, 2, 0.070, 0.025
12, 12, 6, 3, 2, 0.060, 0.014
12, 12, 6, 3, 2, 0.060, 0.013
12, 12, 9, 7, 4, 0.090, 0.072
12, 12, 7, 11, 6, 0.070, 0.071
12, 12, 8, 9, 5, 0.080, 0.071
12, 12, 9, 3, 2, 0.090, 0.033
12, 12, 8, 3, 2, 0.080, 0.02
12, 12, 7, 5, 3, 0.070, 0.036
12, 12, 6, 17, 9, 0.060, 0.091
12, 12, 7, 3, 2, 0.070, 0.023
12, 12, 6, 3, 2, 0.060, 0.015
12, 12, 6, 3, 2, 0.060, 0.013
